time_s,context,numSV,hdop,cn0_mean,gnss_hAcc,lidar_score,lidar_feature_count,rel_gnss,rel_lidar,rel_localization,sigma_gnss_m,sigma_lidar_pos_m,sigma_lidar_yaw_deg,n_particles,ess,ess_ratio,meas_dim,rule_R1,rule_R2,rule_R3,rule_R4,rule_R5,rule_R6,rule_R7,rule_R8,rule_R9,rule_R10
235.7,FeaturePoor,12,1.41801548394241,39.8059758762928,1.40499515015177,0.385968315380762,77,0,0.1263931970873,0.1263931970873,NaN,2.08797211523837,7.66869961485814,1600,1580.61975780161,0.987887348626004,3,1,0,0,0,0,1,0,0,0,0
235.8,FeaturePoor,13,1.13038846017256,40.4090691475535,1.30330782886591,0.375029467793808,147,0.817726140206299,0.149082634539833,0.844900007432088,0.965790079712751,1.99015090710418,7.31654326557504,850,477.891064825189,0.562224782147282,5,0,0,0,0,0,1,0,0,0,0
235.9,FeaturePoor,14,1.08387288497008,40.4469720807514,1.07077593423434,0.2741017068785,133,0,0.113455414623868,0.113455414623868,NaN,2.14490325464935,7.87365171673765,1650,1611.45272307216,0.976638013983126,3,1,0,0,0,0,1,0,0,0,0
236,FeaturePoor,13,1.47024440868136,40.5889716182579,1.37128418965449,0.379066235125425,77,0.78646730985707,0.124312219890316,0.813012032587889,1.06476967807741,2.09707272058357,7.70146179410084,900,723.666915031127,0.804074350034586,5,0,0,0,0,0,1,0,0,0,0
236.1,FeaturePoor,13,0.924431069471631,39.2629114441817,1.66235900842211,0.320806931661088,88,0,0.110830789895818,0.110830789895818,NaN,2.15655471049324,7.91559695777565,1600,1554.96552972451,0.97185345607782,3,1,0,0,0,0,1,0,0,0,0
236.2,FeaturePoor,16,0.967096912529462,36.9024419686294,1.20733322356152,0.358311428574522,86,0.857032039074454,0.121395895715218,0.874387762749589,0.9,2.10986293016516,7.74750654859457,800,735.993560949655,0.919991951187069,5,0,0,0,0,0,1,0,0,1,0
236.3,FeaturePoor,13,1.16149316085859,39.0388939974232,1.01751775914191,0.235840765717164,53,0,0.072219740863725,0.072219740863725,NaN,2.33194052310743,8.54698588318676,1650,1570.08015683011,0.951563731412187,3,1,0,0,0,0,1,0,0,0,0
236.4,FeaturePoor,13,1.2542083741639,40.0174145606342,1.2260236968484,0.312265121349945,90,0.802429528755649,0.108997934087009,0.82396430195788,1.01227272886172,2.16471170365305,7.94496213315097,850,728.137705529027,0.856632594740032,5,0,0,0,0,0,1,0,0,0,0
236.5,FeaturePoor,14,1.29905789684567,38.0307987463915,1.3111285472799,0.455870449948444,97,0,0.154893690659456,0.154893690659456,NaN,1.96551168521799,7.22784206678476,1550,1513.55997052745,0.976490303566098,3,1,0,0,0,0,1,0,0,0,0
236.6,FeaturePoor,13,1.08005051184109,42.3349473524652,1.29101528997943,0.330145922798789,113,0.846194422119555,0.122927745723835,0.86510139508815,0.9,2.10313934805268,7.72330165298967,800,725.402384708442,0.906752980885553,5,0,0,0,0,0,1,0,0,1,0
236.7,FeaturePoor,16,1.21396916583183,38.8684274764444,1.25711305012616,0.420954516560961,72,0,0,0,NaN,NaN,NaN,1700,1700.00000000002,1.00000000000001,0,1,0,0,0,1,0,0,1,0,0
236.8,FeaturePoor,13,1.19140467277547,40.4737478651297,1.05382224994513,0.340006144369272,120,0.817562892510166,0.128499352527336,0.84100594269957,0.966266385514058,2.07878344636318,7.63562040690746,850,511.287942932309,0.601515226979187,5,0,0,0,0,0,1,0,0,0,0
236.9,FeaturePoor,14,1.21751290537821,42.05300469006,0.995797527784469,0.148327566945266,40,0,0.0447207614339976,0.0447207614339976,NaN,2.4613960590881,9.01302581271717,1700,1387.15794458216,0.815975261518919,3,1,0,0,0,0,1,0,1,0,0
237,FeaturePoor,15,1.1434244772551,39.0162107773028,1.25604411533664,0.33322848912532,83,0.842325629008621,0.112719639471284,0.860098627260631,0.9,2.14816609544992,7.88539794361972,800,763.926968563557,0.954908710704446,5,0,0,0,0,0,1,0,0,1,0
237.1,FeaturePoor,11,0.984266195348046,38.9616238983518,1.23459332355083,0.234477116553415,124,0,0.0981673506408546,0.0981673506408546,NaN,2.21325531862534,8.11971914705122,1600,1569.64873442916,0.981030459018224,3,1,0,0,0,0,1,0,0,0,0
237.2,FeaturePoor,14,1.08611242861522,42.3061533900688,1.09496444805753,0.331205755834063,100,0.870079339580734,0.11842103538397,0.885464678705353,0.9,2.12295367713368,7.79463323768124,800,714.468163410848,0.893085204263561,5,0,0,0,0,0,1,0,0,1,0
237.3,FeaturePoor,13,1.01741695524621,36.8977991578793,1.26767837499421,0.349965298522389,53,0,0.1066282875045,0.1066282875045,NaN,2.17528254171786,7.98301715018428,1600,1580.52382786887,0.987827392418047,3,1,0,0,0,0,1,0,0,0,0
237.4,FeaturePoor,16,1.24510665281202,39.3403745240528,1.32480335041539,0.326020163939517,63,0.855683053428163,0.103121329427764,0.870565208817606,0.9,2.19097837431855,8.03952214754679,800,532.614160611231,0.665767700764039,5,0,0,0,0,0,1,0,0,1,0
237.5,FeaturePoor,15,1.198695781169,36.8349132832353,1.85810798894037,0.386371275813228,103,0,0.136167189657688,0.136167189657688,NaN,2.04551781055974,7.51586411801507,1600,1472.57067549912,0.920356672186947,3,1,0,0,0,0,1,0,0,0,0
